ID,Class,Order,Family,Genus,Species,Genus_and_species_,Genus_and_species,rmouillot,rnickwio,rmorais,rbrandl,rhalpern,ryeager,rnewman,rrls,randraldi,rwyatt,rhonorio,rclark,rharvey,rilarri,rmendes,rparrish,rpastro,rrodriguez,ralvarez,rbertoncini,rjohnson,rkattan,rleal,rpaula,rpereira,rramos,rrosa,rwilliams,runsworth,rsiquiera
1,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Alectis,indicus,Alectis_indicus,Alectis indicus,P,NA,P,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Wheelerigobius,maltzani,Wheelerigobius_maltzani,Wheelerigobius maltzani,I,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O
3,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Oligoplites,saurus,Oligoplites_saurus,Oligoplites saurus,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Pseudocaranx,dentex,Pseudocaranx_dentex,Pseudocaranx dentex,P,NA,P,NA,PK,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Actinopterygii (ray-finned fishes),Perciformes,Eleotridae,Ophiocara,porocephala,Ophiocara_porocephala,Ophiocara porocephala,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Selene,vomer,Selene_vomer,Selene vomer,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,dumerili,Seriola_dumerili,Seriola dumerili,P,NA,P,NA,P,P,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,fasciata,Seriola_fasciata,Seriola fasciata,P,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,rivoliana,Seriola_rivoliana,Seriola rivoliana,P,NA,NA,NA,P,NA,P,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,zonata,Seriola_zonata,Seriola zonata,P,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
