ID,Class,Order,Family,Genus,Species,Genus_and_species,Gaspar,Nick_WIO,Morais,Brandl,Nick_Pacific,Halpern,Yeager,Newman,Rangel,Nagelkerken,RLS,rgaspar,rnickwio,rmorais,rbrandl,rhalpern,ryeager,rnewman,rrls
1,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Alectis,indicus,Alectis indicus,FC,NA,Fish-cephalopod feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,P,NA,NA,NA,NA,P
2,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Wheelerigobius,maltzani,Wheelerigobius maltzani,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
3,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Oligoplites,saurus,Oligoplites saurus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
4,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Pseudocaranx,dentex,Pseudocaranx dentex,FC,NA,Fish-cephalopod feeder,NA,NA,DPLA,Generalist carnivore,NA,Pk,NA,NA,P,NA,P,NA,PK,I,NA,NA
5,Actinopterygii (ray-finned fishes),Perciformes,Eleotridae,Ophiocara,porocephala,Ophiocara porocephala,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
6,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Selene,vomer,Selene vomer,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
7,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,dumerili,Seriola dumerili,FC,NA,Fish-cephalopod feeder,NA,NA,PISC,Diurnal piscivore,NA,NA,NA,#REF!,P,NA,P,NA,P,P,NA,P
8,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,fasciata,Seriola fasciata,FC,NA,NA,NA,NA,PISC,NA,NA,NA,NA,NA,P,NA,NA,NA,P,NA,NA,NA
9,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,rivoliana,Seriola rivoliana,FC,NA,NA,NA,NA,PISC,NA,Top Predator,Ca,NA,#REF!,P,NA,NA,NA,P,NA,P,P
10,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,zonata,Seriola zonata,FC,NA,NA,NA,NA,PISC,NA,NA,NA,NA,NA,P,NA,NA,NA,P,NA,NA,NA
11,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Trachinotus,falcatus,Trachinotus falcatus,IM,NA,Mobile invertebrate feeder,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,I,NA,I,NA,NA,NA
12,Actinopterygii (ray-finned fishes),Perciformes,Cheilodactylidae,Nemadactylus,macropterus,Nemadactylus macropterus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
13,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Trachinotus,goodei,Trachinotus goodei,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
14,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Enchelycore,lichenosa,Enchelycore lichenosa,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,NA,NA,NA,NA,NA,P
15,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,chlamydatus,Gymnothorax chlamydatus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
16,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,kidako,Gymnothorax kidako,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,NA,NA,NA,NA,NA,P
17,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,neglectus,Gymnothorax neglectus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
18,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,prasinus,Gymnothorax prasinus,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,NA,NA,NA,NA,NA,I
19,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,reevesii,Gymnothorax reevesii,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
20,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Gymnothorax,reticularis,Gymnothorax reticularis,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
21,Actinopterygii (ray-finned fishes),Anguilliformes,Congridae,Conger,triporiceps,Conger triporiceps,FC,NA,NA,NA,NA,MCAR,NA,NA,NA,NA,NA,P,NA,NA,NA,P,NA,NA,NA
22,Actinopterygii (ray-finned fishes),Pleuronectiformes,Cynoglossidae,Symphurus,diomedeanus,Symphurus diomedeanus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
23,Actinopterygii (ray-finned fishes),Scorpaeniformes,Scorpaenidae,Scorpaena,maderensis,Scorpaena maderensis,FC,NA,Fish-cephalopod feeder,NA,NA,MINV,NA,NA,NA,NA,#REF!,P,NA,P,NA,I,NA,NA,I
24,Actinopterygii (ray-finned fishes),Perciformes,Chaetodontidae,Chaetodon,robustus,Chaetodon robustus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
25,Actinopterygii (ray-finned fishes),Perciformes,Haemulidae,Parapristipoma,humile,Parapristipoma humile,IM,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,I,NA,NA,NA,I,NA,NA,NA
26,Actinopterygii (ray-finned fishes),Perciformes,Sciaenidae,Umbrina,steindachneri,Umbrina steindachneri,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
27,Actinopterygii (ray-finned fishes),Perciformes,Sphyraenidae,Sphyraena,viridensis,Sphyraena viridensis,FC,NA,Fish-cephalopod feeder,NA,NA,NA,NA,NA,NA,NA,#REF!,P,NA,P,NA,NA,NA,NA,P
28,Actinopterygii (ray-finned fishes),Tetraodontiformes,Diodontidae,Chilomycterus,reticulatus,Chilomycterus reticulatus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,I,NA,NA,NA,NA,NA,NA,I
29,Actinopterygii (ray-finned fishes),Scorpaeniformes,Dactylopteridae,Dactylopterus,volitans,Dactylopterus volitans,IM,NA,NA,NA,NA,MINV,NA,NA,In,NA,NA,I,NA,NA,NA,I,NA,NA,NA
30,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Pseudechidna,brummeri,Pseudechidna brummeri,FC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,NA,NA
31,Actinopterygii (ray-finned fishes),Anguilliformes,Muraenidae,Uropterygius,micropterus,Uropterygius micropterus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
32,Actinopterygii (ray-finned fishes),Tetraodontiformes,Diodontidae,Diodon,hystrix,Diodon hystrix,IM,NA,NA,NA,NA,SINV,Invertivore,Macro-Invertivore,In,BI,#REF!,I,NA,NA,NA,I,I,I,I
33,Actinopterygii (ray-finned fishes),Siluriformes,Ariidae,Netuma,thalassina,Netuma thalassina,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
34,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neopomacentrus,anabatoides,Neopomacentrus anabatoides,PK,NA,NA,NA,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,NA,NA,PK
35,Actinopterygii (ray-finned fishes),Syngnathiformes,Syngnathidae,Halicampus,macrorhynchus,Halicampus macrorhynchus,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA
36,Actinopterygii (ray-finned fishes),Ophidiiformes,Carapidae,Encheliophis,vermicularis,Encheliophis vermicularis,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O,NA,NA,NA,NA,NA,NA,NA
37,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neopomacentrus,azysron,Neopomacentrus azysron,PK,NA,NA,Plankton,NA,NA,NA,NA,NA,NA,#REF!,PK,NA,NA,PK,NA,NA,NA,PK
38,Actinopterygii (ray-finned fishes),Perciformes,Pomacentridae,Neopomacentrus,metallicus,Neopomacentrus metallicus,PK,NA,NA,NA,NA,NA,Diurnal planktivore,NA,NA,NA,#REF!,PK,NA,NA,NA,NA,PK,NA,PK
