ID,Class,Order,Family,Genus,Species,Genus_and_species_,Genus_and_species,Gaspar,Mouillot,Nick_WIO,Morais,Brandl,Nick_Pacific,Halpern,Yeager,Newman,Rangel,Nagelkerken,RLS,Siquiera,Andradi-Brown,Wyatt,Honorio,Clark,Harvey,Ilarri,Mendes,Parrish,Pastro,Rodríguez-Zaragoza,Alvarez-Filip,Bertoncini,Chaves,Johnson,Kattan,Leal,Paula,Pereira,Ramos,Rosa,Williams,Unsworth
1,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Alectis,indicus,Alectis_indicus,Alectis indicus,FC,,NA,Fish-cephalopod feeder,NA,NA,NA,NA,NA,NA,NA,Higher carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Actinopterygii (ray-finned fishes),Perciformes,Gobiidae,Wheelerigobius,maltzani,Wheelerigobius_maltzani,Wheelerigobius maltzani,IM,,NA,NA,NA,NA,MINV,NA,NA,NA,NA,NA,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Oligoplites,saurus,Oligoplites_saurus,Oligoplites saurus,FC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Pseudocaranx,dentex,Pseudocaranx_dentex,Pseudocaranx dentex,FC,,NA,Fish-cephalopod feeder,NA,NA,DPLA,Generalist carnivore,NA,Pk,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invertivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Actinopterygii (ray-finned fishes),Perciformes,Eleotridae,Ophiocara,porocephala,Ophiocara_porocephala,Ophiocara porocephala,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Selene,vomer,Selene_vomer,Selene vomer,IM,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GC,NA,NA,Generalist Carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,dumerili,Seriola_dumerili,Seriola dumerili,FC,,NA,Fish-cephalopod feeder,NA,NA,PISC,Diurnal piscivore,NA,NA,NA,Higher carnivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,fasciata,Seriola_fasciata,Seriola fasciata,FC,,NA,NA,NA,NA,PISC,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,rivoliana,Seriola_rivoliana,Seriola rivoliana,FC,,NA,NA,NA,NA,PISC,NA,Top Predator,Ca,NA,Higher carnivore,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Seriola,zonata,Seriola_zonata,Seriola zonata,FC,,NA,NA,NA,NA,PISC,NA,NA,NA,NA,NA,GC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Actinopterygii (ray-finned fishes),Perciformes,Carangidae,Trachinotus,falcatus,Trachinotus_falcatus,Trachinotus falcatus,IM,,NA,Mobile invertebrate feeder,NA,NA,MINV,NA,NA,NA,NA,NA,GC,NA,NA,Generalist Carnivore,Invertivore,NA,NA,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
