"species","cluster"
"Antennarius multiocellatus",4
"Antennarius striatus",4
"Anyperodon leucogrammicus",4
"Asterorhombus intermedius",4
"Atule mate",4
"Aulostomus chinensis",4
"Aulostomus maculatus",4
"Bothus lunatus",4
"Bothus mancus",4
"Carangoides bartholomaei",4
"Carangoides chrysophrys",4
"Carangoides ferdau",4
"Carangoides fulvoguttatus",4
"Carangoides gymnostethus",4
"Carangoides orthogrammus",4
"Caranx crysos",4
"Caranx ignobilis",4
"Caranx latus",4
"Caranx melampygus",4
"Caranx papuensis",4
"Caranx ruber",4
"Caranx sexfasciatus",4
"Cephalopholis argus",4
"Cephalopholis boenak",4
"Cephalopholis cruentata",4
"Cephalopholis fulva",4
"Cephalopholis miniata",4
"Cephalopholis sonnerati",4
"Cheilio inermis",4
"Chirocentrus dorab",4
"Cociella crocodilus",4
"Cymbacephalus staigeri",4
"Echeneis naucrates",4
"Elops machnata",4
"Epinephelus coioides",4
"Epinephelus fuscoguttatus",4
"Epinephelus hexagonatus",4
"Epinephelus howlandi",4
"Epinephelus striatus",4
"Euthynnus alletteratus",4
"Fistularia petimba",4
"Gazza minuta",4
"Ginglymostoma cirratum",4
"Gymnothorax flavimarginatus",4
"Gymnothorax meleagris",4
"Gymnothorax moringa",4
"Gymnothorax pictus",4
"Gymnothorax vicinus",4
"Harengula humeralis",4
"Heteropriacanthus cruentatus",4
"Hypoplectrus nigricans",4
"Hyporhamphus dussumieri",4
"Lethrinus genivittatus",4
"Lethrinus semicinctus",4
"Lutjanus apodus",4
"Lutjanus cyanopterus",4
"Lutjanus jocu",4
"Lutjanus mahogoni",4
"Lutjanus russellii",4
"Lutjanus semicinctus",4
"Megalops cyprinoides",4
"Mycteroperca interstitialis",4
"Mycteroperca tigris",4
"Mycteroperca venenosa",4
"Odontoscion dentex",4
"Oligoplites saurus",4
"Ophichthus ophis",4
"Ostorhinchus novemfasciatus",4
"Oxycheilinus orientalis",4
"Paracirrhites forsteri",4
"Parupeneus cyclostomus",4
"Plagiotremus rhinorhynchos",4
"Platybelone argalus",4
"Plectropomus leopardus",4
"Priacanthus arenatus",4
"Pseudocaranx dentex",4
"Rypticus saponaceus",4
"Saurida gracilis",4
"Saurida undosquamis",4
"Scomberoides tol",4
"Scomberomorus cavalla",4
"Scomberomorus commerson",4
"Scomberomorus regalis",4
"Scorpaena plumieri",4
"Scorpaenopsis cacopsis",4
"Scorpaenopsis gibbosa",4
"Selar crumenophthalmus",4
"Seriola dumerili",4
"Sphyraena barracuda",4
"Sphyraena forsteri",4
"Sphyraena obtusata",4
"Sphyraena picudilla",4
"Sphyraena pinguis",4
"Sphyraena putnamae",4
"Strongylura timucu",4
"Symphorus nematophorus",4
"Synodus dermatogenys",4
"Synodus intermedius",4
"Synodus variegatus",4
"Trachinotus baillonii",4
"Trachinotus goodei",4
"Trichiurus lepturus",4
"Tylosurus acus acus",4
"Tylosurus crocodilus",4
"Variola louti",4
"Acanthopagrus berda",7
"Alphestes afer",7
"Apogon erythrinus",7
"Yarica hyalosoma",7
"Apogon maculatus",7
"Bothus ocellatus",7
"Bothus pantherinus",7
"Brotula multibarbata",7
"Cephalopholis urodeta",7
"Cheilinus chlorourus",7
"Cheilinus oxycephalus",7
"Cheilodipterus quinquelineatus",7
"Cirrhitops fasciatus",7
"Cirrhitus pinnulatus",7
"Conger cinereus",7
"Dactyloptena orientalis",7
"Dactylopterus volitans",7
"Dendrochirus brachypterus",7
"Echelus uropterus",7
"Echidna catenata",7
"Echidna polyzona",7
"Epibulus insidiator",7
"Epinephelus adscensionis",7
"Epinephelus areolatus",7
"Epinephelus coeruleopunctatus",7
"Epinephelus fasciatus",7
"Epinephelus guttatus",7
"Epinephelus itajara",7
"Epinephelus longispinis",7
"Epinephelus macrospilos",7
"Epinephelus malabaricus",7
"Epinephelus merra",7
"Epinephelus polyphekadion",7
"Epinephelus rivulatus",7
"Equetus lanceolatus",7
"Equetus punctatus",7
"Forcipiger longirostris",7
"Fowleria aurita",7
"Gobioclinus guppyi",7
"Gomphosus varius",7
"Grammatobothus polyophthalmus",7
"Grammistes sexlineatus",7
"Gymnothorax buroensis",7
"Gymnothorax undulatus",7
"Haemulon chrysargyreum",7
"Haemulon parra",7
"Halichoeres margaritaceus",7
"Halichoeres trimaculatus",7
"Haliophis guttatus",7
"Holocentrus adscensionis",7
"Holocentrus rufus",7
"Hypoplectrus aberrans",7
"Hypoplectrus chlorurus",7
"Hypoplectrus puella",7
"Labracinus cyclophthalmus",7
"Lactophrys trigonus",7
"Lagocephalus sceleratus",7
"Leptomelanosoma indicum",7
